"site","Treatment","Median_AI_mod","Median_NOSC","Median_DBE","Median_delGcoxPerCmol","Median_delGcoxPerCompmol","Median_Lambda","Median_Formulas"
"EC_005","Dry",0.302325581395349,-0.285714285714286,12,-143.042934141783,-3368.14579282369,0.0384551251127718,269
"EC_005","Wet",0.333333333333333,-0.294117647058823,13,-143.287164561186,-3608.40728650725,0.0355683825753333,193
"EC_009","Dry",0.3,-0.258064516129032,13,-142.533082173035,-3457.21887114608,0.0375487870659749,485
"EC_009","Wet",0.368421052631579,-0.285714285714286,12,-143.346219176072,-3176.36122081774,0.0397984151563296,633
"EC_011","Dry",0.2,-0.347826086956522,10,-143.71138098175,-3345.23810611325,0.037484723842048,461
"EC_011","Wet",0.346546310832025,-0.266666666666667,12,-142.613211106906,-3157.29196765952,0.041049073313717,628
"EC_012","Dry",0.224014336917563,-0.108187134502924,11.5,-141.304768595859,-3666.15347953413,0.0356014240901062,118
"EC_012","Wet",0.409090909090909,-0.24,13,-143.086219940919,-3110.83814249536,0.0414534990967808,531
"EC_014","Dry",0.348837209302326,-0.307692307692307,12,-143.398062405216,-3060.43814249536,0.0434693667553558,538
"EC_014","Wet",0.381962864721486,-0.260869565217392,12,-142.685320575362,-3476.82269631025,0.037484723842048,344
"EC_017","Dry",0.0717948717948718,-0.242424242424242,10,-143.162214561613,-3368.51888933714,0.0377699687787792,507
"EC_017","Wet",0.272727272727273,-0.285714285714286,12,-143.959326066517,-3425.14579282369,0.0369469517936404,979
"EC_022","Dry",0.214520202020202,-0.322237492364928,11.5,-143.890753362067,-3476.31692218189,0.0359824445484051,322
"EC_022","Wet",0.238181818181818,-0.363636363636363,11.5,-144.303265252074,-3587.52269631025,0.0345824300467094,616
"EC_023","Dry",0.221445221445221,-0.37797619047619,11,-144.829792824619,-3297.39963617891,0.0372962759832582,229
"EC_023","Wet",0.235294117647059,-0.311740890688259,10,-143.456552604349,-3205.76888933713,0.0393564268535891,507
"EC_027","Dry",0.318665377176016,-0.333333333333333,11,-143.526197536277,-3237.83810611325,0.0406367621729467,248
"EC_027","Wet",0.333333333333333,-0.4,12,-144.744103200488,-3135.39582920581,0.0391137229277462,135
"EC_032","Dry",0.268761726078799,-0.37037037037037,11,-144.497733371088,-3441.45347953414,0.0361346596865911,315
"EC_032","Wet",0.267948717948718,-0.32,11,-143.231715639171,-3111.47659423863,0.0416018422312822,321
"EC_037","Dry",0.406406406406406,-0.181818181818182,14,-142.254234492435,-3428.82275088341,0.0382426329857401,1045
"EC_037","Wet",0.153846153846154,-0.222222222222222,11,-142.943464024392,-3280.45735927147,0.0391953606482933,862
"EC_038","Dry",0.36377789309808,-0.260869565217392,13,-143.216696206683,-3230.69967256102,0.0397638985485688,579
"EC_038","Wet",0.333333333333333,-0.24,13,-142.612293279395,-3372.7304194028,0.0385682062025178,936
"EC_040","Dry",0.282051282051282,-0.285714285714286,11,-143.158618384765,-3276.51504598191,0.0390441928189635,130
"EC_040","Wet",0.142857142857143,-0.4,8,-144.559813822878,-3274.49194946847,0.0373712970405043,641
"EC_041","Dry",0.266666666666667,-0.421052631578948,10.5,-144.449148669687,-3276.51504598191,0.0388034425950114,783
"EC_041","Wet",0.0833333333333333,-0.333333333333333,8,-143.775625399992,-3141.62659423864,0.0399119087928331,672
"EC_051","Dry",0.333333333333333,-0.173913043478261,12,-142.297757360786,-3337.35347953414,0.039008417408183,707
"EC_051","Wet",0.272972493345164,-0.260873015873016,12.5,-143.523781073077,-3607.82077463264,0.036668795880334,910
"EC_052","Dry",0.333333333333333,-0.235294117647059,14,-143.169239223574,-3658.26885295503,0.0363182108962285,709
"EC_052","Wet",0.333333333333333,-0.222222222222222,14,-142.628897701691,-3631.3149732177,0.0365989610108367,875
"EC_053","Dry",0.382783882783883,-0.2996632996633,13,-144.050754118201,-3701.15732288936,0.0349071504691226,220
"EC_053","Wet",0.333333333333333,-0.2,12,-142.457175912257,-3484.70732288936,0.0382138430988017,959
"EC_056","Dry",0.303336703741153,-0.347826086956522,13,-143.959326066517,-3572.49963617891,0.0356260499273517,341
"EC_056","Wet",0.316233766233766,-0.214285714285714,12,-142.645854434487,-3563.33810611325,0.036282372272198,579
"EC_057","Dry",0.276595744680851,-0.3125,12,-143.287164561186,-3471.70735927147,0.0375099640057188,556
"EC_057","Wet",0.2,-0.275862068965517,10,-143.141194398287,-3224.83814249536,0.0401164908514461,602
"EC_065","Dry",0.256478405315614,-0.328828828828829,13,-143.567159023184,-3707.01499140875,0.0347148425728947,1378
"EC_065","Wet",0.2,-0.285714285714286,10,-143.435990112028,-3361.00735927147,0.0388249773625743,1152
"EC_066","Dry",0.347826086956522,-0.181818181818182,13,-142.798703722381,-3355.1458292058,0.0397890121283523,669
"EC_066","Wet",0.268292682926829,-0.176470588235294,14,-143.048542824619,-3848.77652147442,0.0353370950319987,490
"EC_068","Dry",0.302325581395349,-0.272727272727272,13,-143.083130893839,-3294.84196765952,0.0384958339368664,1464
"EC_068","Wet",0.333333333333333,-0.307692307692307,13,-143.959326066517,-3494.61504598191,0.0368085260557743,1505
"EC_070","Dry",0.354336200883515,-0.273291925465839,13,-143.335785912798,-3417.9554194028,0.0385312870322772,459
"EC_070","Wet",0.333333333333333,-0.166666666666667,12,-142.612293279395,-3385.93814249536,0.0384644655320195,410
"EC_072","Dry",0.282051282051282,-0.285,11,-143.103609379211,-3304.00349772519,0.039231195035584,1018.5
"EC_072","Wet",0.364341085271317,-0.345238095238095,12.5,-143.420620223795,-3024.10738655805,0.0421193996183645,663
"EC_073","Dry",0.317627494456763,-0.263157894736842,12,-143.051517002563,-3346.24965436997,0.0382768409834911,922
"EC_073","Wet",0.348837209302326,-0.230769230769231,13,-142.993476270027,-3538.40732288936,0.036771203690306,2209
"EC_074","Dry",0.277777777777778,-0.285714285714286,11,-143.647118085311,-3393.07657604758,0.0371099771435144,409
"EC_074","Wet",0.3,-0.351470588235294,11,-144.050754118201,-3354.13428094908,0.0385515380042106,601
"EC_076","Dry",0.238095238095238,-0.3875,11,-145.118747620242,-3093.14967256102,0.039707532685496,254
"EC_076","Wet",0.377777777777778,-0.44949494949495,12,-145.007451584707,-3192.3958292058,0.0396216203125087,291
"EC_078","Dry",0.25,-0.444444444444445,10,-144.880552219317,-3257.17657604758,0.0391302338130918,400
"EC_078","Wet",0.348331648129424,-0.352941176470588,11,-144.01707009916,-3034.23045578491,0.0434477304189995,578
"EC_080","Dry",0.3125,-0.333333333333333,12,-143.997421088052,-3284.39967256102,0.0384784819386087,1228
"EC_080","Wet",0.26530612244898,-0.355042016806722,12,-144.155436137681,-3355.1458292058,0.0377409573197608,734
"EC_081","Dry",0.142857142857143,-0.294117647058823,10,-143.347370510321,-3135.02273269236,0.0408251640623944,775
"EC_081","Wet",0.260869565217391,-0.4,11,-144.241651507455,-3400.2150095998,0.0366977918297616,471
"EC_084","Dry",0.257142857142857,-0.464102564102565,11,-144.974059251734,-3524.66116624458,0.0347164142052953,572
"EC_084","Wet",0.169811320754717,-0.285714285714286,10,-144.100777521512,-3338.09967256102,0.0383573874009571,382
"EC_085","Dry",0.243843843843843,-0.439613526570048,11,-144.755606016984,-3463.82273269236,0.0355266803548582,982
"EC_085","Wet",0.232051282051282,-0.385856079404467,10,-144.050754118201,-3484.70732288936,0.0361550796818991,540
"EC_089","Dry",0.2,-0.454545454545454,11,-145.497555384124,-3551.51116624459,0.0341169365702611,728
"EC_089","Wet",0.342342342342342,-0.424242424242424,13,-144.385698693382,-3947.91879838186,0.0322667358360601,193
"EC_090","Dry",0.318181818181818,-0.363636363636363,13,-144.831001841879,-3685.0149732177,0.0351741369822691,307
"EC_090","Wet",0.235294117647059,-0.333333333333333,11,-143.694657106991,-3410.12273269236,0.0376324982007127,929
"EC_091","Dry",0.268292682926829,-0.375,12,-144.378006785493,-3408.09963617891,0.0360100334842931,545
"EC_091","Wet",0.25,-0.303030303030303,12,-143.542168185259,-3413.96116624458,0.0377223592673602,789
"EC_092","Dry",0.26530612244898,-0.395121951219513,12,-144.675509210304,-3774.83038302069,0.033298918824387,667
"EC_092","Wet",0.292892156862746,-0.210526315789473,12,-142.905369782679,-3229.6881243043,0.0401366453628424,752
"EC_093","Dry",0.276595744680851,-0.411764705882353,12,-144.559813822878,-3569.19963617891,0.0375670366232346,367
"EC_093","Wet",0.317627494456763,-0.4,12,-144.796395890142,-3840.25344315203,0.0325569454060652,298
"EC_094","Dry",0.254901960784314,-0.4,12,-144.663446058574,-3505.05347953414,0.0346174885672793,487
"EC_094","Wet",0.260869565217391,-0.307692307692307,12,-142.853830514478,-3596.04963617891,0.0367064539530532,587
"EC_095","Dry",0.224489795918367,-0.405128205128206,10,-144.213482285136,-3255.89967256102,0.0390441928189635,337
"EC_095","Wet",0.255813953488372,-0.466666666666667,11,-145.183901327536,-3614.74579282369,0.034299207396957,461
