Sample_Name,Respiration_Rate_mg_DO_per_L_per_H,Respiration_Rate_mg_DO_per_kg_per_H,mass_water,modelled_water,log_rate,flag,Notes
EC_005_INC-D1,0,0,51.289,NA,0,Modelled Water Mass,
EC_005_INC-D2,0,0,51.289,NA,0,Modelled Water Mass,
EC_005_INC-D3,0,0,51.289,NA,0,Modelled Water Mass,
EC_005_INC-D4,-0.066,-0.217,51.289,NA,0.085290578,Modelled Water Mass,
EC_005_INC-D5,-0.089,-0.291,51.289,NA,0.110926242,Modelled Water Mass,
EC_005_INC-W1,-0.076,-9999,51.289,NA,4,Modelled Water Mass,Outlier removed
EC_005_INC-W2,-0.346,-1.129,51.289,NA,0.328175661,Modelled Water Mass,
EC_005_INC-W3,-0.376,-1.223,51.289,NA,0.346939463,Modelled Water Mass,
EC_005_INC-W4,-0.36,-1.172,51.289,NA,0.336859821,Modelled Water Mass,
EC_005_INC-W5,-0.243,-0.794,51.289,NA,0.253822439,Modelled Water Mass,
EC_009_INC-D1,-0.602,-2.124,51.906,NA,0.494711025,Modelled Water Mass,
EC_009_INC-D2,-9.89,-34.874,51.906,NA,1.554779804,Modelled Water Mass,
EC_009_INC-D3,-0.239,-0.845,51.906,NA,0.26599637,Modelled Water Mass,
EC_009_INC-D4,-0.483,-1.714,51.906,NA,0.433609843,Modelled Water Mass,
EC_009_INC-D5,-2.473,-8.774,51.906,NA,0.990072335,Modelled Water Mass,
EC_009_INC-W1,-3.002,-10.665,51.906,NA,1.066884743,Modelled Water Mass,
EC_009_INC-W2,-3.905,-13.826,51.906,NA,1.171023996,Modelled Water Mass,
EC_009_INC-W3,-4.162,-14.766,51.906,NA,1.197721522,Modelled Water Mass,
EC_009_INC-W4,-2.971,-10.498,51.906,NA,1.060622304,Modelled Water Mass,
EC_009_INC-W5,-2.608,-9.209,51.906,NA,1.008983204,Modelled Water Mass,
EC_011_INC-D1,-119.42,-472.132,51.752,NA,2.674982322,Modelled Water Mass,
EC_011_INC-D2,-214.02,-848.73,51.752,NA,2.929280951,Modelled Water Mass,
EC_011_INC-D3,-219.742,-868.759,51.752,NA,2.939398931,Modelled Water Mass,
EC_011_INC-D4,-217.954,-861.69,51.752,NA,2.935854764,Modelled Water Mass,
EC_011_INC-D5,-191.632,-759.365,51.752,NA,2.881022118,Modelled Water Mass,
EC_011_INC-W1,-9999,-9999,51.752,NA,4,Modelled Water Mass,
EC_011_INC-W2,-9999,-9999,51.752,NA,4,Modelled Water Mass,
EC_011_INC-W3,-9999,-9999,51.752,NA,4,Modelled Water Mass,
EC_011_INC-W4,-9999,-9999,51.752,NA,4,Modelled Water Mass,
EC_011_INC-W5,-9999,-9999,51.752,NA,4,Modelled Water Mass,
EC_012_INC-D1,-115.406,-524.368,51.344,NA,2.720463617,Modelled Water Mass,
EC_012_INC-D2,-140.551,-643.172,51.344,NA,2.809001844,Modelled Water Mass,
EC_012_INC-D3,-122,-553.839,51.344,NA,2.74416698,Modelled Water Mass,
EC_012_INC-D4,-156.149,-710.119,51.344,NA,2.851942282,Modelled Water Mass,
EC_012_INC-D5,-0.615,-5.826,51.344,NA,0.834166284,Modelled Water Mass,
EC_012_INC-W1,-9999,-9999,51.344,NA,4,Modelled Water Mass,
EC_012_INC-W2,-9999,-9999,51.344,NA,4,Modelled Water Mass,
EC_012_INC-W3,-9999,-9999,51.344,NA,4,Modelled Water Mass,
EC_012_INC-W4,-9999,-9999,51.344,NA,4,Modelled Water Mass,
EC_012_INC-W5,-9999,-9999,51.344,NA,4,Modelled Water Mass,
EC_013_INC-D1,-3.792,-19.386,50.663,NA,1.30933202,Modelled Water Mass,
EC_013_INC-D2,-1.985,-10.128,50.663,NA,1.046417117,Modelled Water Mass,
EC_013_INC-D3,-1.612,-8.241,50.663,NA,0.96571897,Modelled Water Mass,
EC_013_INC-D4,-9999,-9999,50.663,NA,4,Modelled Water Mass,
EC_013_INC-D5,-5.181,-26.46,50.663,NA,1.438700533,Modelled Water Mass,
EC_013_INC-W1,-16.143,-82.528,50.663,NA,1.921832083,Modelled Water Mass,
EC_013_INC-W2,-18.505,-94.223,50.663,NA,1.97874186,Modelled Water Mass,
EC_013_INC-W3,-8.232,-41.958,50.663,NA,1.633044054,Modelled Water Mass,
EC_013_INC-W4,-13.174,-67.214,50.663,NA,1.833873517,Modelled Water Mass,
EC_013_INC-W5,-9999,-9999,50.663,NA,4,Modelled Water Mass,
EC_014_INC-D1,-0.285,-1.168,51.069,NA,0.336059278,Modelled Water Mass,
EC_014_INC-D2,-0.432,-1.773,51.069,NA,0.44294987,Modelled Water Mass,
EC_014_INC-D3,-0.272,-1.118,51.069,NA,0.325925956,Modelled Water Mass,
EC_014_INC-D4,-0.335,-1.376,51.069,NA,0.375846436,Modelled Water Mass,
EC_014_INC-D5,-0.305,-1.255,51.069,NA,0.353146546,Modelled Water Mass,
EC_014_INC-W1,-0.358,-1.471,51.069,NA,0.392872745,Modelled Water Mass,
EC_014_INC-W2,-0.446,-1.838,51.069,NA,0.453012391,Modelled Water Mass,
EC_014_INC-W3,-136.324,-560.547,51.069,NA,2.749386111,Modelled Water Mass,
EC_014_INC-W4,-137.274,-562.19,51.069,NA,2.750654935,Modelled Water Mass,
EC_014_INC-W5,-9999,-9999,51.069,NA,4,Modelled Water Mass,
EC_017_INC-D1,-0.429,-1.373,50.808,NA,0.375297738,Modelled Water Mass,
EC_017_INC-D2,0,-9999,50.808,NA,4,Modelled Water Mass,Outlier removed
EC_017_INC-D3,-0.337,-1.071,50.808,NA,0.316180099,Modelled Water Mass,
EC_017_INC-D4,-0.108,-0.346,50.808,NA,0.12904506,Modelled Water Mass,
EC_017_INC-D5,-5.228,-16.56,50.808,NA,1.244524512,Modelled Water Mass,
EC_017_INC-W1,-1.347,-4.307,50.808,NA,0.724849088,Modelled Water Mass,
EC_017_INC-W2,-0.801,-2.555,50.808,NA,0.550839605,Modelled Water Mass,
EC_017_INC-W3,-0.756,-2.399,50.808,NA,0.531351165,Modelled Water Mass,
EC_017_INC-W4,-0.569,-1.819,50.808,NA,0.450095076,Modelled Water Mass,
EC_017_INC-W5,-0.693,-2.213,50.808,NA,0.506910726,Modelled Water Mass,
EC_018_INC-D1,-0.099,-0.372,50.312,NA,0.137354111,Modelled Water Mass,
EC_018_INC-D2,0,0,50.312,NA,0,Modelled Water Mass,
EC_018_INC-D3,0,0,50.312,NA,0,Modelled Water Mass,
EC_018_INC-D4,0,0,50.312,NA,0,Modelled Water Mass,
EC_018_INC-D5,0,0,50.312,NA,0,Modelled Water Mass,
EC_018_INC-W1,-0.271,-1.021,50.312,NA,0.305566314,Modelled Water Mass,
EC_018_INC-W2,-0.463,-1.746,50.312,NA,0.438700533,Modelled Water Mass,
EC_018_INC-W3,-132.996,-9999,50.312,NA,4,Modelled Water Mass,Outlier removed
EC_018_INC-W4,-0.466,-1.751,50.312,NA,0.43949059,Modelled Water Mass,
EC_018_INC-W5,-0.201,-0.756,50.312,NA,0.244524512,Modelled Water Mass,
EC_021_INC-D1,0,0,50.831,NA,0,Modelled Water Mass,
EC_021_INC-D2,0,0,50.831,NA,0,Modelled Water Mass,
EC_021_INC-D3,0,0,50.831,NA,0,Modelled Water Mass,
EC_021_INC-D4,-0.331,-1.079,50.831,NA,0.317854489,Modelled Water Mass,
EC_021_INC-D5,-0.519,-1.665,50.831,NA,0.425697213,Modelled Water Mass,
EC_021_INC-W1,-0.168,-0.537,50.831,NA,0.186673867,Modelled Water Mass,
EC_021_INC-W2,-0.15,-0.48,50.831,NA,0.170261715,Modelled Water Mass,
EC_021_INC-W3,-1.143,-3.67,50.831,NA,0.669316881,Modelled Water Mass,
EC_021_INC-W4,-0.12,-0.384,50.831,NA,0.14113609,Modelled Water Mass,
EC_021_INC-W5,-0.662,-2.122,50.831,NA,0.494432899,Modelled Water Mass,
EC_022_INC-D1,-0.496,-1.644,51.853,NA,0.422261451,Modelled Water Mass,
EC_022_INC-D2,-0.231,-0.771,51.853,NA,0.248218561,Modelled Water Mass,
EC_022_INC-D3,-0.187,-0.624,51.853,NA,0.210586025,Modelled Water Mass,
EC_022_INC-D4,-0.301,-0.994,51.853,NA,0.299725154,Modelled Water Mass,
EC_022_INC-D5,-0.259,-0.861,51.853,NA,0.269746373,Modelled Water Mass,
EC_022_INC-W1,-8.908,-29.59,51.853,NA,1.485579477,Modelled Water Mass,
EC_022_INC-W2,-4.843,-16.026,51.853,NA,1.231112629,Modelled Water Mass,
EC_022_INC-W3,-99.795,-9999,51.853,NA,4,Modelled Water Mass,Outlier removed
EC_022_INC-W4,-5.137,-17.031,51.853,NA,1.256019813,Modelled Water Mass,
EC_022_INC-W5,-11.869,-39.35,51.853,NA,1.605843539,Modelled Water Mass,
EC_023_INC-D1,-268.622,NA,52.45,NA,#VALUE!,Modelled Water Mass,
EC_023_INC-D2,-1.016,NA,52.45,NA,#VALUE!,Modelled Water Mass,
EC_023_INC-D3,-213.236,NA,52.45,NA,#VALUE!,Modelled Water Mass,
EC_023_INC-D4,-269.899,NA,52.45,NA,#VALUE!,Modelled Water Mass,
EC_023_INC-D5,-245.434,NA,52.45,NA,#VALUE!,Modelled Water Mass,
EC_023_INC-W1,-243.227,NA,52.45,NA,#VALUE!,Modelled Water Mass,
EC_023_INC-W2,-271.999,NA,52.45,NA,#VALUE!,Modelled Water Mass,
EC_023_INC-W3,-264.878,NA,52.45,NA,#VALUE!,Modelled Water Mass,
EC_023_INC-W4,-257.059,NA,52.45,NA,#VALUE!,Modelled Water Mass,
EC_023_INC-W5,-223.44,NA,52.45,NA,#VALUE!,Modelled Water Mass,
EC_024_INC-D1,0,0,50.413,NA,0,Modelled Water Mass,
EC_024_INC-D2,0,0,50.413,NA,0,Modelled Water Mass,
EC_024_INC-D3,0,0,50.413,NA,0,Modelled Water Mass,
EC_024_INC-D4,0,0,50.413,NA,0,Modelled Water Mass,
EC_024_INC-D5,0,0,50.413,NA,0,Modelled Water Mass,
EC_024_INC-W1,-4.103,-12.054,50.413,NA,1.115743608,Modelled Water Mass,
EC_024_INC-W2,-1.146,-3.386,50.413,NA,0.642068627,Modelled Water Mass,
EC_024_INC-W3,-1.209,-3.546,50.413,NA,0.657629431,Modelled Water Mass,
EC_024_INC-W4,-1.564,-4.571,50.413,NA,0.745933158,Modelled Water Mass,
EC_024_INC-W5,-2.913,-8.568,50.413,NA,0.980821167,Modelled Water Mass,
EC_027_INC-D1,-9999,-9999,51.842,NA,4,Modelled Water Mass,
EC_027_INC-D2,-9999,-9999,51.842,NA,4,Modelled Water Mass,
EC_027_INC-D3,-3.299,-17.068,51.842,NA,1.256910082,Modelled Water Mass,
EC_027_INC-D4,-109.808,-568.696,51.842,NA,2.75564317,Modelled Water Mass,
EC_027_INC-D5,-7.881,-40.734,51.842,NA,1.620490012,Modelled Water Mass,
EC_027_INC-W1,-182.577,-945.566,51.842,NA,2.976150901,Modelled Water Mass,
EC_027_INC-W2,-265.758,-1377.737,51.842,NA,3.139481431,Modelled Water Mass,
EC_027_INC-W3,-244.014,-1265.012,51.842,NA,3.102437822,Modelled Water Mass,
EC_027_INC-W4,-261.147,-1349.783,51.842,NA,3.130585586,Modelled Water Mass,
EC_027_INC-W5,-9999,-9999,51.842,NA,4,Modelled Water Mass,
EC_032_INC-D1,-221.433,-1195.112,54.673,NA,3.077771847,Modelled Water Mass,
EC_032_INC-D2,-260.814,-1465.527,54.673,NA,3.166290063,Modelled Water Mass,
EC_032_INC-D3,-185.851,-1035.79,54.673,NA,3.0156908,Modelled Water Mass,
EC_032_INC-D4,-238.136,-1323.14,54.673,NA,3.121933905,Modelled Water Mass,
EC_032_INC-D5,-132.501,-706.758,54.673,NA,2.849884787,Modelled Water Mass,
EC_032_INC-W1,-265.923,-1485.077,54.673,NA,3.172041313,Modelled Water Mass,
EC_032_INC-W2,-267.866,-1502.065,54.673,NA,3.176977762,Modelled Water Mass,
EC_032_INC-W3,-266.952,-1463.908,54.673,NA,3.165810351,Modelled Water Mass,
EC_032_INC-W4,-265,-1444.51,54.673,NA,3.1600211,Modelled Water Mass,
EC_032_INC-W5,-269.748,-1476.279,54.673,NA,3.169462524,Modelled Water Mass,
EC_033_INC-D1,0,0,50.39,NA,0,Modelled Water Mass,
EC_033_INC-D2,0,0,50.39,NA,0,Modelled Water Mass,
EC_033_INC-D3,0,0,50.39,NA,0,Modelled Water Mass,
EC_033_INC-D4,-0.18,-0.568,50.39,NA,0.195346058,Modelled Water Mass,
EC_033_INC-D5,0,0,50.39,NA,0,Modelled Water Mass,
EC_033_INC-W1,-0.034,-0.108,50.39,NA,0.04453976,Modelled Water Mass,
EC_033_INC-W2,0,0,50.39,NA,0,Modelled Water Mass,
EC_033_INC-W3,0,0,50.39,NA,0,Modelled Water Mass,
EC_033_INC-W4,0,0,50.39,NA,0,Modelled Water Mass,
EC_033_INC-W5,0,0,50.39,NA,0,Modelled Water Mass,
EC_034_INC-D1,-1.368,-4.765,51.512,NA,0.760799312,Modelled Water Mass,
EC_034_INC-D2,-1.323,-4.602,51.512,NA,0.748343104,Modelled Water Mass,
EC_034_INC-D3,-1.093,-3.815,51.512,NA,0.682596291,Modelled Water Mass,
EC_034_INC-D4,-1.113,-3.903,51.512,NA,0.690461893,Modelled Water Mass,
EC_034_INC-D5,-1.866,-6.499,51.512,NA,0.875003354,Modelled Water Mass,
EC_034_INC-W1,-224.555,-779.465,51.512,NA,2.892353432,Modelled Water Mass,
EC_034_INC-W2,-258.728,-901.731,51.512,NA,2.955558356,Modelled Water Mass,
EC_034_INC-W3,-206.353,-719.678,51.512,NA,2.857741265,Modelled Water Mass,
EC_034_INC-W4,-252.83,-875.253,51.512,NA,2.942629518,Modelled Water Mass,
EC_034_INC-W5,-243.593,-851.864,51.512,NA,2.930879783,Modelled Water Mass,
EC_035_INC-D1,-265.215,-1800.585,51.665,NA,3.255654757,Modelled Water Mass,
EC_035_INC-D2,-268.682,-1841.057,51.665,NA,3.265303065,Modelled Water Mass,
EC_035_INC-D3,-117.402,-794.971,51.665,NA,2.900897245,Modelled Water Mass,
EC_035_INC-D4,-269.861,-1834.538,51.665,NA,3.26376338,Modelled Water Mass,
EC_035_INC-D5,-262.968,-1785.329,51.665,NA,3.251961449,Modelled Water Mass,
EC_035_INC-W1,-268.417,-1822.324,51.665,NA,3.260863849,Modelled Water Mass,
EC_035_INC-W2,-274.839,-1863.475,51.665,NA,3.270556564,Modelled Water Mass,
EC_035_INC-W3,-264.923,-1800.969,51.665,NA,3.255747315,Modelled Water Mass,
EC_035_INC-W4,-276.469,-1872.07,51.665,NA,3.272554008,Modelled Water Mass,
EC_035_INC-W5,-270.133,-1833.974,51.665,NA,3.263629915,Modelled Water Mass,
EC_037_INC-D1,-2.084,-6.105,50.384,NA,0.851564082,Modelled Water Mass,
EC_037_INC-D2,-1.616,-4.709,50.384,NA,0.756560043,Modelled Water Mass,
EC_037_INC-D3,-1.517,-4.408,50.384,NA,0.733036683,Modelled Water Mass,
EC_037_INC-D4,-0.469,-1.36,50.384,NA,0.372912003,Modelled Water Mass,
EC_037_INC-D5,-0.558,-1.636,50.384,NA,0.420945406,Modelled Water Mass,
EC_037_INC-W1,-1.867,-5.409,50.384,NA,0.806790272,Modelled Water Mass,
EC_037_INC-W2,-1.771,-5.116,50.384,NA,0.786467477,Modelled Water Mass,
EC_037_INC-W3,-4.405,-12.941,50.384,NA,1.144293927,Modelled Water Mass,
EC_037_INC-W4,-1.943,-5.588,50.384,NA,0.81875359,Modelled Water Mass,
EC_037_INC-W5,-4.434,-12.65,50.384,NA,1.135132651,Modelled Water Mass,
EC_038_INC-D1,-0.449,-1.39,50.498,NA,0.378397901,Modelled Water Mass,
EC_038_INC-D2,-0.335,-1.034,50.498,NA,0.308350949,Modelled Water Mass,
EC_038_INC-D3,-0.209,-0.66,50.498,NA,0.220108088,Modelled Water Mass,
EC_038_INC-D4,-0.242,-0.745,50.498,NA,0.241795431,Modelled Water Mass,
EC_038_INC-D5,-0.372,-1.168,50.498,NA,0.336059278,Modelled Water Mass,
EC_038_INC-W1,-5.415,-16.714,50.498,NA,1.24831664,Modelled Water Mass,
EC_038_INC-W2,-14.654,-45.992,50.498,NA,1.672023929,Modelled Water Mass,
EC_038_INC-W3,-5.403,-16.821,50.498,NA,1.25093207,Modelled Water Mass,
EC_038_INC-W4,-12.213,-38.33,50.498,NA,1.594723946,Modelled Water Mass,
EC_038_INC-W5,-109.76,-9999,50.498,NA,4,Modelled Water Mass,Outlier removed
EC_039_INC-D1,0,0,50.636,NA,0,Modelled Water Mass,
EC_039_INC-D2,0,0,50.636,NA,0,Modelled Water Mass,
EC_039_INC-D3,0,0,50.636,NA,0,Modelled Water Mass,
EC_039_INC-D4,0,0,50.636,NA,0,Modelled Water Mass,
EC_039_INC-D5,0,0,50.636,NA,0,Modelled Water Mass,
EC_039_INC-W1,-0.658,-2.134,50.636,NA,0.496098992,Modelled Water Mass,
EC_039_INC-W2,-8.443,-27.87,50.636,NA,1.460446784,Modelled Water Mass,
EC_039_INC-W3,-0.418,-1.372,50.636,NA,0.375114685,Modelled Water Mass,
EC_039_INC-W4,-0.526,-1.716,50.636,NA,0.433929766,Modelled Water Mass,
EC_039_INC-W5,-10.591,-34.577,50.636,NA,1.551169324,Modelled Water Mass,
EC_040_INC-D1,-0.791,-3.02,53.26,NA,0.604226053,Modelled Water Mass,
EC_040_INC-D2,-0.273,-1.045,53.26,NA,0.310693312,Modelled Water Mass,
EC_040_INC-D3,-0.247,-0.946,53.26,NA,0.289142836,Modelled Water Mass,
EC_040_INC-D4,-0.279,-1.067,53.26,NA,0.315340477,Modelled Water Mass,
EC_040_INC-D5,-0.441,-1.711,53.26,NA,0.433129518,Modelled Water Mass,
EC_040_INC-W1,-208.29,-807.97,53.26,NA,2.907932416,Modelled Water Mass,
EC_040_INC-W2,-246.264,-945.632,53.26,NA,2.976181181,Modelled Water Mass,
EC_040_INC-W3,-233.337,-903.156,53.26,NA,2.956243369,Modelled Water Mass,
EC_040_INC-W4,-256.415,-993.926,53.26,NA,2.99779078,Modelled Water Mass,
EC_040_INC-W5,-169.462,-653.546,53.26,NA,2.815940173,Modelled Water Mass,
EC_041_INC-D1,-6.566,-24.336,50.926,NA,1.40373805,Modelled Water Mass,
EC_041_INC-D2,-0.838,-3.092,50.926,NA,0.611935625,Modelled Water Mass,
EC_041_INC-D3,-6.963,-25.733,50.926,NA,1.427047698,Modelled Water Mass,
EC_041_INC-D4,-4.031,-14.962,50.926,NA,1.203087306,Modelled Water Mass,
EC_041_INC-D5,-0.66,-2.446,50.926,NA,0.537315273,Modelled Water Mass,
EC_041_INC-W1,-142.104,-525.167,50.926,NA,2.721123607,Modelled Water Mass,
EC_041_INC-W2,-157.769,-582.637,50.926,NA,2.766142816,Modelled Water Mass,
EC_041_INC-W3,-133.324,-494.154,50.926,NA,2.694740292,Modelled Water Mass,
EC_041_INC-W4,-96.174,-355.684,50.926,NA,2.552283628,Modelled Water Mass,
EC_041_INC-W5,-105.325,-389.245,50.926,NA,2.591337347,Modelled Water Mass,
EC_042_INC-D1,-0.183,-0.635,50.677,NA,0.213517757,Modelled Water Mass,
EC_042_INC-D2,-0.393,-1.369,50.677,NA,0.374565061,Modelled Water Mass,
EC_042_INC-D3,-0.481,-1.681,50.677,NA,0.428296814,Modelled Water Mass,
EC_042_INC-D4,-5.319,-18.564,50.677,NA,1.291457654,Modelled Water Mass,
EC_042_INC-D5,-0.37,-1.29,50.677,NA,0.359835482,Modelled Water Mass,
EC_042_INC-W1,-9.132,-31.763,50.677,NA,1.515383662,Modelled Water Mass,
EC_042_INC-W2,-3.199,-11.096,50.677,NA,1.082641778,Modelled Water Mass,
EC_042_INC-W3,-3.291,-11.502,50.677,NA,1.096979495,Modelled Water Mass,
EC_042_INC-W4,-2.763,-9.584,50.677,NA,1.024649831,Modelled Water Mass,
EC_042_INC-W5,-3.115,-10.827,50.677,NA,1.072874597,Modelled Water Mass,
EC_044_INC-D1,0,0,50.853,NA,0,Modelled Water Mass,
EC_044_INC-D2,0,0,50.853,NA,0,Modelled Water Mass,
EC_044_INC-D3,0,0,50.853,NA,0,Modelled Water Mass,
EC_044_INC-D4,0,0,50.853,NA,0,Modelled Water Mass,
EC_044_INC-D5,-0.042,-0.129,50.853,NA,0.052693942,Modelled Water Mass,
EC_044_INC-W1,-2.498,-7.689,50.853,NA,0.938969797,Modelled Water Mass,
EC_044_INC-W2,-1.016,-3.145,50.853,NA,0.617524535,Modelled Water Mass,
EC_044_INC-W3,-5.858,-18.131,50.853,NA,1.281737672,Modelled Water Mass,
EC_044_INC-W4,-9.288,-28.66,50.853,NA,1.472171147,Modelled Water Mass,
EC_044_INC-W5,-3.858,-11.934,50.853,NA,1.111732857,Modelled Water Mass,
EC_051_INC-D1,-2.553,-8.996,52.043,NA,0.999826247,Modelled Water Mass,
EC_051_INC-D2,-13.03,-46.005,52.043,NA,1.672144057,Modelled Water Mass,
EC_051_INC-D3,-0.202,-0.715,52.043,NA,0.234264124,Modelled Water Mass,
EC_051_INC-D4,-0.241,-0.85,52.043,NA,0.267171728,Modelled Water Mass,
EC_051_INC-D5,-0.141,-0.499,52.043,NA,0.175801633,Modelled Water Mass,
EC_051_INC-W1,-1.433,-5.059,52.043,NA,0.782400952,Modelled Water Mass,
EC_051_INC-W2,-0.71,-2.503,52.043,NA,0.544440137,Modelled Water Mass,
EC_051_INC-W3,-0.672,-2.381,52.043,NA,0.529045171,Modelled Water Mass,
EC_051_INC-W4,-1.589,-5.606,52.043,NA,0.819938569,Modelled Water Mass,
EC_051_INC-W5,-8.997,-31.744,52.043,NA,1.515131732,Modelled Water Mass,
EC_052_INC-D1,-3.74,-16.038,52.918,NA,1.231418614,Modelled Water Mass,
EC_052_INC-D2,-0.743,-3.181,52.918,NA,0.621280168,Modelled Water Mass,
EC_052_INC-D3,-3.912,-16.789,52.918,NA,1.250151535,Modelled Water Mass,
EC_052_INC-D4,-6.731,-28.935,52.918,NA,1.476179262,Modelled Water Mass,
EC_052_INC-D5,-3.155,-13.596,52.918,NA,1.164233855,Modelled Water Mass,
EC_052_INC-W1,-4.521,-19.435,52.918,NA,1.310374642,Modelled Water Mass,
EC_052_INC-W2,-9.522,-40.966,52.918,NA,1.622897576,Modelled Water Mass,
EC_052_INC-W3,-6.74,-28.903,52.918,NA,1.475714761,Modelled Water Mass,
EC_052_INC-W4,-4.736,-20.392,52.918,NA,1.33025139,Modelled Water Mass,
EC_052_INC-W5,-5.045,-21.617,52.918,NA,1.354434998,Modelled Water Mass,
EC_053_INC-D1,-0.472,-1.744,51.18,52.01,0.438384107,N/A,
EC_053_INC-D2,-0.469,-1.746,51.37,52.01,0.438700533,N/A,
EC_053_INC-D3,-0.345,-1.244,49.8,52.01,0.351022853,N/A,
EC_053_INC-D4,-0.527,-1.971,51.84,52.01,0.472902652,N/A,
EC_053_INC-D5,-0.355,-1.34,52.19,52.01,0.369215857,N/A,
EC_053_INC-W1,-0.726,-2.691,51.29,52.01,0.567144045,N/A,
EC_053_INC-W2,-2.559,-9.542,51.46,52.01,1.022923012,N/A,
EC_053_INC-W3,-0.724,-2.702,51.58,52.01,0.568436414,N/A,
EC_053_INC-W4,-1.349,-4.994,51.31,52.01,0.777716739,N/A,
EC_053_INC-W5,-1.236,-4.493,50.16,52.01,0.739809599,N/A,
EC_056_INC-D1,0,0,50.581,NA,0,Modelled Water Mass,
EC_056_INC-D2,0,0,50.581,NA,0,Modelled Water Mass,
EC_056_INC-D3,0,0,50.581,NA,0,Modelled Water Mass,
EC_056_INC-D4,0,0,50.581,NA,0,Modelled Water Mass,
EC_056_INC-D5,0,0,50.581,NA,0,Modelled Water Mass,
EC_056_INC-W1,0,0,50.581,NA,0,Modelled Water Mass,
EC_056_INC-W2,0,0,50.581,NA,0,Modelled Water Mass,
