"Samples","Total_Peaks","Total_Peaks_Clean","Difference","Sample_Type","Cal_Quality","final"
"EC_005_SIR-D1",5318,5123,195,"Dry","Poor",98
"EC_005_SIR-D2",3107,2924,183,"Dry","Poor",60
"EC_005_SIR-D3",5615,5479,136,"Dry","Poor",87
"EC_005_SIR-D4",5982,5742,240,"Dry","Poor",109
"EC_005_SIR-D5",4635,4401,234,"Dry","Poor",108
"EC_005_SIR-W1",4215,3987,228,"Wet","Poor",91
"EC_005_SIR-W2",3035,2856,179,"Wet","Poor",44
"EC_005_SIR-W3",4443,4238,205,"Wet","Poor",79
"EC_005_SIR-W4",5425,5230,195,"Wet","Poor",102
"EC_005_SIR-W5",4906,4673,233,"Wet","Poor",103
"EC_009_SIR-D1",4803,4586,217,"Dry","Poor",68
"EC_009_SIR-D2",5348,5104,244,"Dry","Poor",58
"EC_009_SIR-D3",4517,4269,248,"Dry","Poor",60
"EC_009_SIR-D4",4321,4106,215,"Dry","Poor",58
"EC_009_SIR-D5",2596,2427,169,"Dry","Poor",25
"EC_009_SIR-W1",5615,5349,266,"Wet","Poor",60
"EC_009_SIR-W2",4889,4670,219,"Wet","Poor",93
"EC_009_SIR-W3",1607,1488,119,"Wet","Poor",26
"EC_009_SIR-W4",3534,3341,193,"Wet","Poor",73
"EC_009_SIR-W5",2590,2416,174,"Wet","Poor",51
"EC_011_SIR-D1",6118,5870,248,"Dry","Poor",89
"EC_011_SIR-D2",5227,4947,280,"Dry","Poor",80
"EC_011_SIR-D3",664,598,66,"Dry","Poor",6
"EC_011_SIR-D4",1026,923,103,"Dry","Poor",7
"EC_011_SIR-D5",5757,5505,252,"Dry","Poor",73
"EC_011_SIR-W1",4515,4278,237,"Wet","Poor",71
"EC_011_SIR-W2",4247,4023,224,"Wet","Poor",58
"EC_011_SIR-W3",5732,5466,266,"Wet","Poor",93
"EC_011_SIR-W4",5997,5734,263,"Wet","Poor",68
"EC_011_SIR-W5",4617,4392,225,"Wet","Poor",61
"EC_012_SIR-D1",1450,1327,123,"Dry","Poor",6
"EC_012_SIR-D2",3669,3397,272,"Dry","Poor",28
"EC_012_SIR-D3",1244,1170,74,"Dry","Poor",7
"EC_012_SIR-D4",2307,2129,178,"Dry","Poor",7
"EC_012_SIR-D5",558,475,83,"Dry","Poor",5
"EC_012_SIR-W1",2718,2563,155,"Wet","Poor",7
"EC_012_SIR-W2",699,657,42,"Wet","Poor",5
"EC_012_SIR-W3",3701,3500,201,"Wet","Poor",11
"EC_012_SIR-W4",3222,3018,204,"Wet","Poor",28
"EC_012_SIR-W5",4737,4534,203,"Wet","Poor",68
"EC_013_SIR-D1",2799,2662,137,"Dry","Poor",33
"EC_013_SIR-D2",1696,1613,83,"Dry","Poor",9
"EC_013_SIR-D3",4016,3859,157,"Dry","Poor",94
"EC_013_SIR-D4",5472,5266,206,"Dry","Poor",114
"EC_013_SIR-D5",3773,3636,137,"Dry","Poor",89
"EC_013_SIR-W1",3461,3296,165,"Wet","Poor",66
"EC_013_SIR-W2",5246,5048,198,"Wet","Poor",43
"EC_013_SIR-W3",4813,4640,173,"Wet","Poor",91
"EC_013_SIR-W4",4431,4263,168,"Wet","Poor",96
"EC_013_SIR-W5",5375,5201,174,"Wet","Poor",85
"EC_014_SIR-D1",1214,1107,107,"Dry","Poor",20
"EC_014_SIR-D2",728,689,39,"Dry","Poor",14
"EC_014_SIR-D3",2087,1980,107,"Dry","Poor",6
"EC_014_SIR-D4",4528,4373,155,"Dry","Good",125
"EC_014_SIR-D5",3878,3741,137,"Dry","Poor",100
"EC_014_SIR-W1",2276,2122,154,"Wet","Poor",33
"EC_014_SIR-W2",2563,2405,158,"Wet","Poor",52
"EC_014_SIR-W3",2457,2312,145,"Wet","Poor",36
"EC_014_SIR-W4",2468,2309,159,"Wet","Poor",37
"EC_014_SIR-W5",895,841,54,"Wet","Poor",13
"EC_017_SIR-D1",3590,3394,196,"Dry","Poor",62
"EC_017_SIR-D2",3596,3421,175,"Dry","Poor",41
"EC_017_SIR-D3",3866,3659,207,"Dry","Poor",52
"EC_017_SIR-D4",6866,6628,238,"Dry","Poor",53
"EC_017_SIR-D5",5966,5738,228,"Dry","Poor",64
"EC_017_SIR-W1",3629,3430,199,"Wet","Poor",51
"EC_017_SIR-W2",5716,5514,202,"Wet","Poor",50
"EC_017_SIR-W3",5080,4899,181,"Wet","Poor",78
"EC_017_SIR-W4",4141,3940,201,"Wet","Poor",66
"EC_017_SIR-W5",5179,4995,184,"Wet","Poor",78
"EC_018_SIR-D1",2706,2530,176,"Dry","Poor",19
"EC_018_SIR-D2",5365,5183,182,"Dry","Poor",55
"EC_018_SIR-D3",5087,4933,154,"Dry","Poor",85
"EC_018_SIR-D4",1562,1485,77,"Dry","Poor",20
"EC_018_SIR-D5",3364,3228,136,"Dry","Poor",75
"EC_018_SIR-W1",3852,3711,141,"Wet","Poor",44
"EC_018_SIR-W2",2231,2124,107,"Wet","Poor",42
"EC_018_SIR-W3",4665,4526,139,"Wet","Poor",75
"EC_018_SIR-W4",2920,2812,108,"Wet","Poor",45
"EC_018_SIR-W5",2964,2868,96,"Wet","Poor",24
"EC_021_SIR-D1",1880,1773,107,"Dry","Poor",6
"EC_021_SIR-D2",4205,4075,130,"Dry","Poor",14
"EC_021_SIR-D3",2227,2093,134,"Dry","Poor",6
"EC_021_SIR-D4",4023,3848,175,"Dry","Poor",18
"EC_021_SIR-D5",4522,4343,179,"Dry","Poor",33
"EC_021_SIR-W1",3005,2863,142,"Wet","Poor",12
"EC_021_SIR-W2",3671,3515,156,"Wet","Poor",11
"EC_021_SIR-W3",1972,1818,154,"Wet","Poor",4
"EC_021_SIR-W4",4308,4165,143,"Wet","Poor",28
"EC_021_SIR-W5",4644,4419,225,"Wet","Poor",45
"EC_022_SIR-D1",4830,2846,1984,"Dry","Poor",117
"EC_022_SIR-D3",5263,5014,249,"Dry","Poor",83
"EC_022_SIR-D4",5315,5085,230,"Dry","Poor",98
"EC_022_SIR-D5",5659,5376,283,"Dry","Poor",61
"EC_022_SIR-W1",5907,5669,238,"Wet","Poor",78
"EC_022_SIR-W2",4130,3901,229,"Wet","Poor",69
"EC_022_SIR-W3",5667,5418,249,"Wet","Poor",77
"EC_022_SIR-W4",5468,5208,260,"Wet","Poor",87
"EC_022_SIR-W5",5346,5195,151,"Wet","Poor",61
"EC_023_SIR-D1",5199,3322,1877,"Dry","Poor",80
"EC_023_SIR-D2",1805,1683,122,"Dry","Poor",7
"EC_023_SIR-D3",3954,3715,239,"Dry","Poor",30
"EC_023_SIR-D4",5931,4039,1892,"Dry","Poor",108
"EC_023_SIR-D5",3261,3016,245,"Dry","Poor",27
"EC_023_SIR-W1",6058,4280,1778,"Wet","Poor",84
"EC_023_SIR-W2",5654,5448,206,"Wet","Poor",75
"EC_023_SIR-W3",5956,5737,219,"Wet","Poor",95
"EC_023_SIR-W4",6514,6266,248,"Wet","Poor",86
"EC_023_SIR-W5",3120,2898,222,"Wet","Poor",35
"EC_024_SIR-D1",4294,4069,225,"Dry","Poor",31
"EC_024_SIR-D2",3557,3362,195,"Dry","Poor",23
"EC_024_SIR-D3",1129,1073,56,"Dry","Poor",5
"EC_024_SIR-D4",6391,6091,300,"Dry","Poor",60
"EC_024_SIR-D5",7245,6994,251,"Dry","Poor",70
"EC_024_SIR-W1",8661,8342,319,"Wet","Poor",58
"EC_024_SIR-W2",8560,8245,315,"Wet","Poor",72
"EC_024_SIR-W3",8262,8035,227,"Wet","Poor",63
"EC_024_SIR-W4",6428,6157,271,"Wet","Poor",66
"EC_024_SIR-W5",5223,5074,149,"Wet","Poor",26
"EC_027_SIR-D1",683,617,66,"Dry","Poor",12
"EC_027_SIR-D2",2572,2383,189,"Dry","Poor",31
"EC_027_SIR-D3",3629,3400,229,"Dry","Poor",33
"EC_027_SIR-D4",5442,5219,223,"Dry","Poor",104
"EC_027_SIR-D5",4230,3985,245,"Dry","Poor",79
"EC_027_SIR-W1",4392,4138,254,"Wet","Poor",88
"EC_027_SIR-W2",3863,3623,240,"Wet","Poor",67
"EC_027_SIR-W3",1018,941,77,"Wet","Poor",6
"EC_027_SIR-W4",698,649,49,"Wet","Poor",6
"EC_027_SIR-W5",3108,2856,252,"Wet","Poor",38
"EC_032_SIR-D1",4663,4484,179,"Dry","Poor",100
"EC_032_SIR-D2",4320,4128,192,"Dry","Poor",67
"EC_032_SIR-D3",5428,5243,185,"Dry","Poor",86
"EC_032_SIR-D4",4351,4182,169,"Dry","Poor",71
"EC_032_SIR-D5",5363,5180,183,"Dry","Poor",72
"EC_032_SIR-W1",3611,3438,173,"Wet","Poor",68
"EC_032_SIR-W2",4777,4612,165,"Wet","Poor",84
"EC_032_SIR-W3",4198,4019,179,"Wet","Poor",79
"EC_032_SIR-W4",3885,3711,174,"Wet","Poor",46
"EC_032_SIR-W5",3985,3836,149,"Wet","Poor",53
"EC_033_SIR-D1",3297,3111,186,"Dry","Poor",18
"EC_033_SIR-D2",1889,1767,122,"Dry","Poor",7
"EC_033_SIR-D3",4093,3901,192,"Dry","Poor",32
"EC_033_SIR-D4",5296,5071,225,"Dry","Poor",28
"EC_033_SIR-D5",3619,3409,210,"Dry","Poor",15
"EC_033_SIR-W1",2034,1951,83,"Wet","Poor",9
"EC_033_SIR-W2",2230,2129,101,"Wet","Poor",6
"EC_033_SIR-W3",2922,2777,145,"Wet","Poor",7
"EC_033_SIR-W4",1524,1469,55,"Wet","Poor",5
"EC_033_SIR-W5",2711,2596,115,"Wet","Poor",11
"EC_034_SIR-D1",6132,5844,288,"Dry","Poor",114
"EC_034_SIR-D2",2191,2017,174,"Dry","Poor",12
"EC_034_SIR-D3",2375,2038,337,"Dry","Poor",15
"EC_034_SIR-D4",6024,5708,316,"Dry","Poor",42
"EC_034_SIR-D5",847,775,72,"Dry","Poor",9
"EC_034_SIR-W1",1064,1004,60,"Wet","Poor",8
"EC_034_SIR-W2",1005,944,61,"Wet","Poor",11
"EC_034_SIR-W3",1540,1414,126,"Wet","Poor",11
"EC_034_SIR-W4",4385,4105,280,"Wet","Poor",39
"EC_034_SIR-W5",929,890,39,"Wet","Poor",8
"EC_035_SIR-D1",1648,1538,110,"Dry","Poor",13
"EC_035_SIR-D2",1720,1605,115,"Dry","Poor",26
"EC_035_SIR-D3",901,819,82,"Dry","Poor",18
"EC_035_SIR-D4",2349,2209,140,"Dry","Poor",33
"EC_035_SIR-D5",676,632,44,"Dry","Poor",7
"EC_035_SIR-W1",987,912,75,"Wet","Poor",15
"EC_035_SIR-W2",5408,5190,218,"Wet","Poor",111
"EC_035_SIR-W3",893,818,75,"Wet","Poor",12
"EC_035_SIR-W4",1880,1754,126,"Wet","Poor",34
"EC_035_SIR-W5",741,702,39,"Wet","Poor",7
"EC_037_SIR-D1",2062,1970,92,"Dry","Poor",12
"EC_037_SIR-D2",3697,3608,89,"Dry","Poor",39
"EC_037_SIR-D3",6653,6522,131,"Dry","Poor",101
"EC_037_SIR-D4",7403,7211,192,"Dry","Poor",83
"EC_037_SIR-D5",3063,2917,146,"Dry","Poor",26
"EC_037_SIR-W1",4873,4724,149,"Wet","Poor",46
"EC_037_SIR-W2",4236,4084,152,"Wet","Poor",29
"EC_037_SIR-W3",4589,4436,153,"Wet","Poor",39
"EC_037_SIR-W4",4482,4302,180,"Wet","Poor",40
"EC_037_SIR-W5",3792,3649,143,"Wet","Poor",36
"EC_038_SIR-D1",4885,4710,175,"Dry","Poor",80
"EC_038_SIR-D2",2967,2832,135,"Dry","Poor",56
"EC_038_SIR-D3",3894,3774,120,"Dry","Poor",17
"EC_038_SIR-D4",2937,2846,91,"Dry","Poor",37
"EC_038_SIR-D5",3567,3416,151,"Dry","Poor",12
"EC_038_SIR-W1",3889,3753,136,"Wet","Poor",62
"EC_038_SIR-W2",3523,3346,177,"Wet","Poor",70
"EC_038_SIR-W3",6232,6032,200,"Wet","Poor",36
"EC_038_SIR-W4",4006,3877,129,"Wet","Poor",70
"EC_038_SIR-W5",3783,3647,136,"Wet","Poor",81
"EC_039_SIR-D1",4720,4459,261,"Dry","Poor",96
"EC_039_SIR-D2",5270,4979,291,"Dry","Poor",103
"EC_039_SIR-D3",5196,4914,282,"Dry","Poor",100
"EC_039_SIR-D4",5075,4809,266,"Dry","Poor",103
"EC_039_SIR-D5",3654,3416,238,"Dry","Poor",58
"EC_039_SIR-W1",1167,1115,52,"Wet","Poor",7
"EC_039_SIR-W2",5670,5455,215,"Wet","Poor",98
"EC_039_SIR-W3",642,574,68,"Wet","Poor",9
"EC_039_SIR-W4",4482,4215,267,"Wet","Poor",92
"EC_039_SIR-W5",1442,1314,128,"Wet","Poor",15
"EC_040_SIR-D1",398,364,34,"Dry","Poor",6
"EC_040_SIR-D2",2224,2047,177,"Dry","Poor",14
"EC_040_SIR-D3",5748,5561,187,"Dry","Poor",73
"EC_040_SIR-D4",2666,2480,186,"Dry","Poor",42
"EC_040_SIR-D5",5079,4867,212,"Dry","Poor",74
"EC_040_SIR-W1",3778,3525,253,"Wet","Poor",61
"EC_040_SIR-W2",6230,5983,247,"Wet","Poor",70
"EC_040_SIR-W3",2411,2230,181,"Wet","Poor",26
"EC_040_SIR-W4",5387,5163,224,"Wet","Poor",94
"EC_040_SIR-W5",4292,4036,256,"Wet","Poor",83
"EC_041_SIR-D1",4588,4301,287,"Dry","Poor",52
"EC_041_SIR-D2",6004,5754,250,"Dry","Poor",46
"EC_041_SIR-D3",4991,4762,229,"Dry","Poor",75
"EC_041_SIR-D4",2672,2397,275,"Dry","Poor",16
"EC_041_SIR-D5",5112,4880,232,"Dry","Poor",58
"EC_041_SIR-W1",5265,3225,2040,"Wet","Good",121
"EC_041_SIR-W2",5432,5220,212,"Wet","Poor",51
"EC_041_SIR-W3",4102,3832,270,"Wet","Poor",35
"EC_041_SIR-W4",5458,5142,316,"Wet","Poor",65
"EC_041_SIR-W5",4649,2644,2005,"Wet","Poor",90
"EC_042_SIR-D1",3643,3445,198,"Dry","Poor",18
"EC_042_SIR-D2",5545,5393,152,"Dry","Poor",57
"EC_042_SIR-D3",2927,2829,98,"Dry","Poor",12
"EC_042_SIR-D4",3816,3647,169,"Dry","Poor",56
"EC_042_SIR-D5",2013,1828,185,"Dry","Poor",11
"EC_042_SIR-W1",4243,4135,108,"Wet","Poor",36
"EC_042_SIR-W2",2899,2718,181,"Wet","Poor",27
"EC_042_SIR-W3",2482,2331,151,"Wet","Poor",12
"EC_042_SIR-W4",2143,2022,121,"Wet","Poor",23
"EC_042_SIR-W5",3686,3505,181,"Wet","Poor",40
"EC_044_SIR-D1",3254,3081,173,"Dry","Poor",66
"EC_044_SIR-D2",1422,1321,101,"Dry","Poor",29
"EC_044_SIR-D3",4048,3851,197,"Dry","Poor",86
"EC_044_SIR-D4",4905,4664,241,"Dry","Poor",62
"EC_044_SIR-D5",2261,2052,209,"Dry","Poor",6
"EC_044_SIR-W1",1740,1642,98,"Wet","Poor",34
"EC_044_SIR-W2",628,580,48,"Wet","Poor",2
"EC_044_SIR-W3",3793,3643,150,"Wet","Poor",77
"EC_044_SIR-W4",800,759,41,"Wet","Poor",5
"EC_044_SIR-W5",413,397,16,"Wet","Poor",2
"EC_051_SIR-D1",3960,3828,132,"Dry","Poor",37
"EC_051_SIR-D2",4675,4491,184,"Dry","Poor",77
"EC_051_SIR-D3",2289,2142,147,"Dry","Poor",20
"EC_051_SIR-D4",3014,2871,143,"Dry","Poor",22
"EC_051_SIR-D5",5436,5316,120,"Dry","Poor",76
"EC_051_SIR-W1",6577,6390,187,"Wet","Poor",40
"EC_051_SIR-W2",3790,3671,119,"Wet","Poor",38
"EC_051_SIR-W3",4808,4702,106,"Wet","Poor",39
"EC_051_SIR-W4",4804,4691,113,"Wet","Poor",42
"EC_052_SIR-D1",1157,1062,95,"Dry","Poor",6
"EC_052_SIR-D2",3510,3402,108,"Dry","Poor",25
"EC_052_SIR-D3",3248,3133,115,"Dry","Poor",19
"EC_052_SIR-D4",3909,3789,120,"Dry","Poor",30
"EC_052_SIR-D5",4660,4541,119,"Dry","Poor",45
"EC_052_SIR-W1",4234,4120,114,"Wet","Poor",20
"EC_052_SIR-W2",5762,5622,140,"Wet","Poor",86
"EC_052_SIR-W3",1415,1352,63,"Wet","Poor",12
"EC_052_SIR-W4",3018,2923,95,"Wet","Poor",8
"EC_052_SIR-W5",4267,4143,124,"Wet","Poor",93
"EC_053_SIR-D1",4769,4537,232,"Dry","Poor",48
"EC_053_SIR-D2",3182,2967,215,"Dry","Poor",34
"EC_053_SIR-D3",3087,2876,211,"Dry","Poor",34
"EC_053_SIR-D4",6245,5970,275,"Dry","Poor",65
"EC_053_SIR-D5",2490,1635,855,"Dry","Poor",23
"EC_053_SIR-W1",5519,5231,288,"Wet","Poor",70
"EC_053_SIR-W2",5209,4949,260,"Wet","Poor",89
"EC_053_SIR-W3",5748,5500,248,"Wet","Poor",60
"EC_053_SIR-W4",4442,4197,245,"Wet","Poor",45
"EC_053_SIR-W5",5398,5125,273,"Wet","Poor",86
"EC_056_SIR-D1",6566,6339,227,"Dry","Poor",36
"EC_056_SIR-D2",4476,4262,214,"Dry","Poor",66
"EC_056_SIR-D3",4085,3963,122,"Dry","Poor",28
"EC_056_SIR-D4",3373,3227,146,"Dry","Poor",31
"EC_056_SIR-D5",5003,4804,199,"Dry","Poor",78
"EC_056_SIR-W1",4376,4216,160,"Wet","Poor",94
"EC_056_SIR-W2",4242,4123,119,"Wet","Poor",22
"EC_056_SIR-W3",4803,4632,171,"Wet","Good",126
"EC_056_SIR-W4",6375,6143,232,"Wet","Poor",45
"EC_056_SIR-W5",2165,2064,101,"Wet","Poor",15
"EC_057_SIR-D1",5668,5417,251,"Dry","Poor",87
"EC_057_SIR-D2",2571,2382,189,"Dry","Poor",53
"EC_057_SIR-D3",2557,2392,165,"Dry","Poor",44
